# tree-topology.txt
# 5-layer
router

#name   city    latitude  longitude

# Cloud
Cloud   NA      -10        205

# Gateway
G1      NA    	-30        205

# Core Switch
C1      NA    	-40        70
C2      NA    	-40        205
C3      NA    	-40        340

# Middle Switch
M1      NA    	-50        25
M2      NA    	-50        70
M3      NA    	-50        115

M4      NA    	-50        160
M5      NA    	-50        205
M6      NA    	-50        250

M7      NA    	-50        295
M8      NA    	-50        340
M9      NA    	-50        385

# Edge Switch
E1      NA    	-60        10
E2      NA    	-60        25
E3      NA    	-60        40

E4      NA    	-60        55
E5      NA    	-60        70
E6      NA    	-60        85

E7      NA    	-60        100
E8      NA    	-60        115
E9      NA    	-60        130

E10     NA    	-60        145
E11     NA    	-60        160
E12     NA    	-60        175

E13     NA    	-60        190
E14     NA    	-60        205
E15     NA    	-60        220

E16     NA    	-60        235
E17     NA    	-60        250
E18     NA    	-60        265

E19     NA    	-60        280
E20     NA    	-60        295
E21     NA    	-60        310

E22     NA    	-60        325
E23     NA    	-60        340
E24     NA    	-60        355

E25     NA    	-60        370
E26     NA    	-60        385
E27     NA    	-60        400

# Room Switch
R1      NA    	-80        5
R2      NA    	-80        10
R3      NA    	-80        15

R4      NA    	-80        20
R5      NA    	-80        25
R6      NA      -80        30

R7      NA      -80        35
R8      NA      -80        40
R9      NA      -80        45

R10     NA      -80        50
R11     NA      -80        55
R12     NA      -80        60

R13     NA      -80        65
R14     NA      -80        70
R15     NA      -80        75

R16     NA      -80        80
R17     NA      -80        85
R18     NA      -80        90

R19     NA      -80        95
R20     NA      -80        100
R21     NA      -80        105

R22     NA      -80        110
R23     NA      -80        115
R24     NA      -80        120

R25     NA      -80        125
R26     NA      -80        130
R27     NA      -80        135

R28     NA      -80        140
R29     NA      -80        145
R30     NA      -80        150

R31     NA      -80        155
R32     NA      -80        160
R33     NA      -80        165

R34     NA      -80        170
R35     NA      -80        175
R36     NA      -80        180

R37     NA      -80        185
R38     NA      -80        190
R39     NA      -80        195

R40     NA      -80        200
R41     NA      -80        205
R42     NA      -80        210

R43     NA      -80        215
